Continent,Country,Date of First Case(s),Last Visited Country(s) of Confirmed Case(s),Confirmed Case(s) at First Day,Age of First Case(s),Date of First Death(s),Age of First Death(s)
Asia,China,2019-11-17,Starting Country,1,55,,
Europe,France,2019-12-27,,1,43,2020-02-15,80
Asia,Nepal,2020-01-13,China,1,32,2020-05-16,29
Asia,Thailand,2020-01-13,China,1,61,2020-03-01,35
Asia,Japan,2020-01-16,China,1,30+,2020-02-13,80+
Asia,South Korea,2020-01-20,China,1,35,2020-02-20,63
North America,United States,2020-01-21,China,1,35,2020-02-06,57
Asia,Taiwan,2020-01-21,China,1,50,2020-02-16,61
Asia,Singapore,2020-01-23,China,1,66,2020-03-21,"75,64"
Asia,Vietnam,2020-01-23,China,1,66,,
Australia,Australia,2020-01-25,China,4,"50+,50+30+,40+",2020-03-01,78
Asia,Malaysia,2020-01-25,China,3,"65,2,11",2020-03-17,"60,34"
North America,Canada,2020-01-25,China,1,50+,2020-03-09,
Asia,Sri Lanka,2020-01-27,China,1,43,2020-03-28,65
Europe,Germany,2020-01-27,China,1,33,2020-03-10,"89,78"
Asia,Cambodia,2020-01-27,China,1,60,,
Asia,United Arab Emirates,2020-01-29,China,1,73,2020-03-20,"78,58"
Asia,Philippines,2020-01-30,China,1,38,2020-02-01,44
Asia,India,2020-01-30,China,1,,2020-03-13,76
Europe,Italy,2020-01-31,China,2,,2020-02-22,78
Europe,United Kingdom,2020-01-31,China,2,"50, 23",2020-03-05,70+
Europe,Sweden,2020-01-31,China,1,20,2020-03-11,70+
Europe,Spain,2020-01-31,Germany,1,,2020-02-13,69
Asia,Russia,2020-01-31,Iran,2,,2020-03-19,79
Europe,Belgium,2020-02-04,China,1,54,2020-03-11,"90,73,86"
Africa,Egypt,2020-02-14,China,1,32,2020-03-08,60
Asia,Iran,2020-02-19,China,2,,2020-02-20,
Asia,Lebanon,2020-02-21,Iran,1,45,2020-03-10,56
Asia,Bahrain,2020-02-21,"Iran, United Arab Emirates",1,,2020-03-16,65
