Continent,Country,Date of First Case(s),Last Visited Country(s) of Confirmed Case(s),Confirmed Case(s) at First Day,Age of First Case(s),Date of First Death(s),Age of First Death(s),Days_Since_Global_First_Case,First_Case_Month,First_Case_Month_Name,First_Case_Week,First_Case_DayOfYear,First_Case_Quarter,First_Case_Year,Has_Travel_Origin,Origin_Count,Multiple_Origins,Origin,Death_Recorded,Days_To_First_Death,Multiple_First_Day_Cases
Asia,China,2019-11-17,Starting Country,1,55,,,0,11,November,46,321,4,2019,True,1,False,Starting Country,False,,False
Europe,France,2019-12-27,,1,43,2020-02-15,80,40,12,December,52,361,4,2019,False,0,False,,True,50.0,False
Asia,Nepal,2020-01-13,China,1,32,2020-05-16,29,57,1,January,3,13,1,2020,True,1,False,China,True,124.0,False
Asia,Thailand,2020-01-13,China,1,61,2020-03-01,35,57,1,January,3,13,1,2020,True,1,False,China,True,48.0,False
Asia,Japan,2020-01-16,China,1,30+,2020-02-13,80+,60,1,January,3,16,1,2020,True,1,False,China,True,28.0,False
Asia,South Korea,2020-01-20,China,1,35,2020-02-20,63,64,1,January,4,20,1,2020,True,1,False,China,True,31.0,False
North America,United States,2020-01-21,China,1,35,2020-02-06,57,65,1,January,4,21,1,2020,True,1,False,China,True,16.0,False
Asia,Taiwan,2020-01-21,China,1,50,2020-02-16,61,65,1,January,4,21,1,2020,True,1,False,China,True,26.0,False
Asia,Singapore,2020-01-23,China,1,66,2020-03-21,"75,64",67,1,January,4,23,1,2020,True,1,False,China,True,58.0,False
Asia,Vietnam,2020-01-23,China,1,66,,,67,1,January,4,23,1,2020,True,1,False,China,False,,False
Australia,Australia,2020-01-25,China,4,"50+,50+30+,40+",2020-03-01,78,69,1,January,4,25,1,2020,True,1,False,China,True,36.0,True
Asia,Malaysia,2020-01-25,China,3,"65,2,11",2020-03-17,"60,34",69,1,January,4,25,1,2020,True,1,False,China,True,52.0,True
North America,Canada,2020-01-25,China,1,50+,2020-03-09,,69,1,January,4,25,1,2020,True,1,False,China,True,44.0,False
Asia,Sri Lanka,2020-01-27,China,1,43,2020-03-28,65,71,1,January,5,27,1,2020,True,1,False,China,True,61.0,False
Europe,Germany,2020-01-27,China,1,33,2020-03-10,"89,78",71,1,January,5,27,1,2020,True,1,False,China,True,43.0,False
Asia,Cambodia,2020-01-27,China,1,60,,,71,1,January,5,27,1,2020,True,1,False,China,False,,False
Asia,United Arab Emirates,2020-01-29,China,1,73,2020-03-20,"78,58",73,1,January,5,29,1,2020,True,1,False,China,True,51.0,False
Asia,Philippines,2020-01-30,China,1,38,2020-02-01,44,74,1,January,5,30,1,2020,True,1,False,China,True,2.0,False
Asia,India,2020-01-30,China,1,,2020-03-13,76,74,1,January,5,30,1,2020,True,1,False,China,True,43.0,False
Europe,Italy,2020-01-31,China,2,,2020-02-22,78,75,1,January,5,31,1,2020,True,1,False,China,True,22.0,True
Europe,United Kingdom,2020-01-31,China,2,"50, 23",2020-03-05,70+,75,1,January,5,31,1,2020,True,1,False,China,True,34.0,True
Europe,Sweden,2020-01-31,China,1,20,2020-03-11,70+,75,1,January,5,31,1,2020,True,1,False,China,True,40.0,False
Europe,Spain,2020-01-31,Germany,1,,2020-02-13,69,75,1,January,5,31,1,2020,True,1,False,Germany,True,13.0,False
Asia,Russia,2020-01-31,Iran,2,,2020-03-19,79,75,1,January,5,31,1,2020,True,1,False,Iran,True,48.0,True
Europe,Belgium,2020-02-04,China,1,54,2020-03-11,"90,73,86",79,2,February,6,35,1,2020,True,1,False,China,True,36.0,False
Africa,Egypt,2020-02-14,China,1,32,2020-03-08,60,89,2,February,7,45,1,2020,True,1,False,China,True,23.0,False
Asia,Iran,2020-02-19,China,2,,2020-02-20,,94,2,February,8,50,1,2020,True,1,False,China,True,1.0,True
